soc_code,soc_title,aioe,isco_code,isco_title,n_isco,aioe_soc_split,anzsco_code,anzsco_title,n_anzsco,aioe_path
11-1011,Chief Executives,1.308912,1112,Senior government officials,3.0,0.436304,111111,Chief Executive or Managing Director,3.0,0.14543466666666668
11-1011,Chief Executives,1.308912,1112,Senior government officials,3.0,0.436304,111211,Corporate General Manager,3.0,0.14543466666666668
11-1011,Chief Executives,1.308912,1112,Senior government officials,3.0,0.436304,139999,Specialist Managers nec,3.0,0.14543466666666668
11-1011,Chief Executives,1.308912,1113,Traditional chiefs and heads of villages,3.0,0.436304,xxxxxx,No Correspondence,1.0,0.436304
11-1011,Chief Executives,1.308912,1120,Managing directors and chief executives,3.0,0.436304,111111,Chief Executive or Managing Director,2.0,0.218152
11-1011,Chief Executives,1.308912,1120,Managing directors and chief executives,3.0,0.436304,111211,Corporate General Manager,2.0,0.218152
11-1021,General and Operations Managers,0.6776147,1112,Senior government officials,7.0,0.0968021,111111,Chief Executive or Managing Director,3.0,0.032267366666666665
11-1021,General and Operations Managers,0.6776147,1112,Senior government officials,7.0,0.0968021,111211,Corporate General Manager,3.0,0.032267366666666665
11-1021,General and Operations Managers,0.6776147,1112,Senior government officials,7.0,0.0968021,139999,Specialist Managers nec,3.0,0.032267366666666665
11-1021,General and Operations Managers,0.6776147,1114,Senior officials of special-interest organizations,7.0,0.0968021,111111,Chief Executive or Managing Director,2.0,0.04840105
11-1021,General and Operations Managers,0.6776147,1114,Senior officials of special-interest organizations,7.0,0.0968021,111211,Corporate General Manager,2.0,0.04840105
11-1021,General and Operations Managers,0.6776147,1120,Managing directors and chief executives,7.0,0.0968021,111111,Chief Executive or Managing Director,2.0,0.04840105
11-1021,General and Operations Managers,0.6776147,1120,Managing directors and chief executives,7.0,0.0968021,111211,Corporate General Manager,2.0,0.04840105
11-1021,General and Operations Managers,0.6776147,1343,Aged care services managers,7.0,0.0968021,134299,Health and Welfare Services Managers nec,2.0,0.04840105
11-1021,General and Operations Managers,0.6776147,1343,Aged care services managers,7.0,0.0968021,141912,Retirement Village Manager,2.0,0.04840105
11-1021,General and Operations Managers,0.6776147,1346,Financial and insurance services branch managers,7.0,0.0968021,149914,Financial Institution Branch Manager,1.0,0.0968021
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021,133312,Wholesaler,6.0,0.016133683333333333
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021,142111,Retail Manager (General),6.0,0.016133683333333333
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021,142112,Antique Dealer,6.0,0.016133683333333333
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021,142113,Betting Agency Manager,6.0,0.016133683333333333
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021,142114,Hair or Beauty Salon Manager,6.0,0.016133683333333333
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021,142115,Post Office Manager,6.0,0.016133683333333333
11-1021,General and Operations Managers,0.6776147,5221,Shopkeepers,7.0,0.0968021,142111,Retail Manager (General),5.0,0.01936042
11-1021,General and Operations Managers,0.6776147,5221,Shopkeepers,7.0,0.0968021,142112,Antique Dealer,5.0,0.01936042
11-1021,General and Operations Managers,0.6776147,5221,Shopkeepers,7.0,0.0968021,142113,Betting Agency Manager,5.0,0.01936042
11-1021,General and Operations Managers,0.6776147,5221,Shopkeepers,7.0,0.0968021,142114,Hair or Beauty Salon Manager,5.0,0.01936042
11-1021,General and Operations Managers,0.6776147,5221,Shopkeepers,7.0,0.0968021,142115,Post Office Manager,5.0,0.01936042
11-2011,Advertising and Promotions Managers,1.217224,1222,Advertising and public relations managers,1.0,1.217224,131113,Advertising Manager,2.0,0.608612
11-2011,Advertising and Promotions Managers,1.217224,1222,Advertising and public relations managers,1.0,1.217224,131114,Public Relations Manager,2.0,0.608612
11-2021,Marketing Managers,1.203774,1221,Sales and marketing managers,1.0,1.203774,131112,Sales and Marketing Manager,1.0,1.203774
11-2022,Sales Managers,1.293821,1221,Sales and marketing managers,1.0,1.293821,131112,Sales and Marketing Manager,1.0,1.293821
11-2031,Public Relations and Fundraising Managers,1.382948,1114,Senior officials of special-interest organizations,3.0,0.4609826666666667,111111,Chief Executive or Managing Director,2.0,0.23049133333333335
11-2031,Public Relations and Fundraising Managers,1.382948,1114,Senior officials of special-interest organizations,3.0,0.4609826666666667,111211,Corporate General Manager,2.0,0.23049133333333335
11-2031,Public Relations and Fundraising Managers,1.382948,1219,Business services and administration managers not elsewhere classified,3.0,0.4609826666666667,132111,Corporate Services Manager,3.0,0.1536608888888889
11-2031,Public Relations and Fundraising Managers,1.382948,1219,Business services and administration managers not elsewhere classified,3.0,0.4609826666666667,149212,Customer Service Manager,3.0,0.1536608888888889
11-2031,Public Relations and Fundraising Managers,1.382948,1219,Business services and administration managers not elsewhere classified,3.0,0.4609826666666667,149913,Facilities Manager,3.0,0.1536608888888889
11-2031,Public Relations and Fundraising Managers,1.382948,1222,Advertising and public relations managers,3.0,0.4609826666666667,131113,Advertising Manager,2.0,0.23049133333333335
11-2031,Public Relations and Fundraising Managers,1.382948,1222,Advertising and public relations managers,3.0,0.4609826666666667,131114,Public Relations Manager,2.0,0.23049133333333335
11-3011,Administrative Services Managers,0.7681937,1219,Business services and administration managers not elsewhere classified,1.0,0.7681937,132111,Corporate Services Manager,3.0,0.25606456666666666
11-3011,Administrative Services Managers,0.7681937,1219,Business services and administration managers not elsewhere classified,1.0,0.7681937,149212,Customer Service Manager,3.0,0.25606456666666666
11-3011,Administrative Services Managers,0.7681937,1219,Business services and administration managers not elsewhere classified,1.0,0.7681937,149913,Facilities Manager,3.0,0.25606456666666666
11-3021,Computer and Information Systems Managers,0.9450699,1330,Information and communications technology service managers,1.0,0.9450699,135111,Chief Information Officer,3.0,0.3150233
11-3021,Computer and Information Systems Managers,0.9450699,1330,Information and communications technology service managers,1.0,0.9450699,135112,ICT Project Manager,3.0,0.3150233
11-3021,Computer and Information Systems Managers,0.9450699,1330,Information and communications technology service managers,1.0,0.9450699,135199,ICT Managers nec,3.0,0.3150233
11-3031,Financial Managers,1.294551,1211,Finance managers,2.0,0.6472755,132111,Corporate Services Manager,4.0,0.161818875
11-3031,Financial Managers,1.294551,1211,Finance managers,2.0,0.6472755,132211,Finance Manager,4.0,0.161818875
11-3031,Financial Managers,1.294551,1211,Finance managers,2.0,0.6472755,221211,Company Secretary,4.0,0.161818875
11-3031,Financial Managers,1.294551,1211,Finance managers,2.0,0.6472755,221212,Corporate Treasurer,4.0,0.161818875
11-3031,Financial Managers,1.294551,1346,Financial and insurance services branch managers,2.0,0.6472755,149914,Financial Institution Branch Manager,1.0,0.6472755
11-3051,Industrial Production Managers,0.3542972,1321,Manufacturing managers,1.0,0.3542972,133411,Manufacturer,3.0,0.11809906666666665
11-3051,Industrial Production Managers,0.3542972,1321,Manufacturing managers,1.0,0.3542972,133512,Production Manager (Manufacturing),3.0,0.11809906666666665
11-3051,Industrial Production Managers,0.3542972,1321,Manufacturing managers,1.0,0.3542972,139999,Specialist Managers nec,3.0,0.11809906666666665
11-3061,Purchasing Managers,1.393102,1219,Business services and administration managers not elsewhere classified,1.0,1.393102,132111,Corporate Services Manager,3.0,0.46436733333333335
11-3061,Purchasing Managers,1.393102,1219,Business services and administration managers not elsewhere classified,1.0,1.393102,149212,Customer Service Manager,3.0,0.46436733333333335
11-3061,Purchasing Managers,1.393102,1219,Business services and administration managers not elsewhere classified,1.0,1.393102,149913,Facilities Manager,3.0,0.46436733333333335
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479,133311,Importer or Exporter,6.0,0.15075798333333332
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479,133611,Supply and Distribution Manager,6.0,0.15075798333333332
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479,133612,Procurement Manager,6.0,0.15075798333333332
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479,149411,Fleet Manager,6.0,0.15075798333333332
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479,149412,Railway Station Manager,6.0,0.15075798333333332
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479,149413,Transport Company Manager,6.0,0.15075798333333332
11-3111,Compensation and Benefits Managers,1.466744,1212,Human resource managers,1.0,1.466744,132311,Human Resource Manager,1.0,1.466744
11-3121,Human Resources Managers,1.359222,1212,Human resource managers,1.0,1.359222,132311,Human Resource Manager,1.0,1.359222
11-3131,Training and Development Managers,1.336838,1212,Human resource managers,1.0,1.336838,132311,Human Resource Manager,1.0,1.336838
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121311,Apiarist,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121312,Beef Cattle Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121313,Dairy Cattle Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121314,Deer Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121315,Goat Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121316,Horse Breeder,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121318,Pig Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121321,Poultry Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121322,Sheep Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121323,Mixed Cattle and Sheep Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121399,Livestock Farmers nec,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121511,Cotton Grower,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower",23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121513,Sugar Cane Grower,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121599,Broadacre Crop Growers nec,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121611,Flower Grower,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121612,Fruit Grower,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121613,Nut Grower,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121616,Vegetable Grower (Aus) / Market Gardener (NZ),23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121699,Horticultural Crop Growers nec,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121711,Broadacre Crop and Livestock Farmer,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,121799,Mixed Production Farmers nec,23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498,133511,Production Manager (Forestry),23.0,-0.0034456434782608692
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1312,Aquaculture and fisheries production managers,2.0,-0.0792498,121111,Aquaculture Farmer,1.0,-0.0792498
11-9021,Construction Managers,0.6361951,1323,Construction managers,2.0,0.31809755,133111,Construction Project Manager,2.0,0.159048775
11-9021,Construction Managers,0.6361951,1323,Construction managers,2.0,0.31809755,133112,Project Builder,2.0,0.159048775
11-9021,Construction Managers,0.6361951,7111,House builders,2.0,0.31809755,133112,Project Builder,3.0,0.10603251666666667
11-9021,Construction Managers,0.6361951,7111,House builders,2.0,0.31809755,331212,Carpenter,3.0,0.10603251666666667
11-9021,Construction Managers,0.6361951,7111,House builders,2.0,0.31809755,821412,Home Improvement Installer,3.0,0.10603251666666667
11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.9671877,1341,Child care services managers,1.0,0.9671877,134111,Child Care Centre Manager,1.0,0.9671877
11-9032,"Education Administrators, Elementary and Secondary School",1.199449,1345,Education managers,1.0,1.199449,134311,School Principal,4.0,0.29986225
11-9032,"Education Administrators, Elementary and Secondary School",1.199449,1345,Education managers,1.0,1.199449,134411,Faculty Head,4.0,0.29986225
11-9032,"Education Administrators, Elementary and Secondary School",1.199449,1345,Education managers,1.0,1.199449,134412,Regional Education Manager,4.0,0.29986225
11-9032,"Education Administrators, Elementary and Secondary School",1.199449,1345,Education managers,1.0,1.199449,134499,Education Managers nec,4.0,0.29986225
11-9033,"Education Administrators, Postsecondary",1.544923,1345,Education managers,1.0,1.544923,134311,School Principal,4.0,0.38623075
11-9033,"Education Administrators, Postsecondary",1.544923,1345,Education managers,1.0,1.544923,134411,Faculty Head,4.0,0.38623075
11-9033,"Education Administrators, Postsecondary",1.544923,1345,Education managers,1.0,1.544923,134412,Regional Education Manager,4.0,0.38623075
11-9033,"Education Administrators, Postsecondary",1.544923,1345,Education managers,1.0,1.544923,134499,Education Managers nec,4.0,0.38623075
11-9039,"Education Administrators, All Other",0.6278906,1345,Education managers,1.0,0.6278906,134311,School Principal,4.0,0.15697265
