soc_code,soc_title,aioe,isco_code,isco_title,isco_count,aioe_weighted
11-1011,Chief Executives,1.308912,1112,Senior government officials,3.0,0.436304
11-1011,Chief Executives,1.308912,1113,Traditional chiefs and heads of villages,3.0,0.436304
11-1011,Chief Executives,1.308912,1120,Managing directors and chief executives,3.0,0.436304
11-1021,General and Operations Managers,0.6776147,1112,Senior government officials,7.0,0.0968021
11-1021,General and Operations Managers,0.6776147,1114,Senior officials of special-interest organizations,7.0,0.0968021
11-1021,General and Operations Managers,0.6776147,1120,Managing directors and chief executives,7.0,0.0968021
11-1021,General and Operations Managers,0.6776147,1343,Aged care services managers,7.0,0.0968021
11-1021,General and Operations Managers,0.6776147,1346,Financial and insurance services branch managers,7.0,0.0968021
11-1021,General and Operations Managers,0.6776147,1420,Retail and wholesale trade managers,7.0,0.0968021
11-1021,General and Operations Managers,0.6776147,5221,Shopkeepers,7.0,0.0968021
11-2011,Advertising and Promotions Managers,1.217224,1222,Advertising and public relations managers,1.0,1.217224
11-2021,Marketing Managers,1.203774,1221,Sales and marketing managers,1.0,1.203774
11-2022,Sales Managers,1.293821,1221,Sales and marketing managers,1.0,1.293821
11-2031,Public Relations and Fundraising Managers,1.382948,1114,Senior officials of special-interest organizations,3.0,0.4609826666666667
11-2031,Public Relations and Fundraising Managers,1.382948,1219,Business services and administration managers not elsewhere classified,3.0,0.4609826666666667
11-2031,Public Relations and Fundraising Managers,1.382948,1222,Advertising and public relations managers,3.0,0.4609826666666667
11-3011,Administrative Services Managers,0.7681937,1219,Business services and administration managers not elsewhere classified,1.0,0.7681937
11-3021,Computer and Information Systems Managers,0.9450699,1330,Information and communications technology service managers,1.0,0.9450699
11-3031,Financial Managers,1.294551,1211,Finance managers,2.0,0.6472755
11-3031,Financial Managers,1.294551,1346,Financial and insurance services branch managers,2.0,0.6472755
11-3051,Industrial Production Managers,0.3542972,1321,Manufacturing managers,1.0,0.3542972
11-3061,Purchasing Managers,1.393102,1219,Business services and administration managers not elsewhere classified,1.0,1.393102
11-3071,"Transportation, Storage, and Distribution Managers",0.9045479,1324,"Supply, distribution and related managers",1.0,0.9045479
11-3111,Compensation and Benefits Managers,1.466744,1212,Human resource managers,1.0,1.466744
11-3121,Human Resources Managers,1.359222,1212,Human resource managers,1.0,1.359222
11-3131,Training and Development Managers,1.336838,1212,Human resource managers,1.0,1.336838
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1311,Agricultural and forestry production managers,2.0,-0.0792498
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1584996,1312,Aquaculture and fisheries production managers,2.0,-0.0792498
11-9021,Construction Managers,0.6361951,1323,Construction managers,2.0,0.31809755
11-9021,Construction Managers,0.6361951,7111,House builders,2.0,0.31809755
11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.9671877,1341,Child care services managers,1.0,0.9671877
11-9032,"Education Administrators, Elementary and Secondary School",1.199449,1345,Education managers,1.0,1.199449
11-9033,"Education Administrators, Postsecondary",1.544923,1345,Education managers,1.0,1.544923
11-9039,"Education Administrators, All Other",0.6278906,1345,Education managers,1.0,0.6278906
11-9041,Architectural and Engineering Managers,0.647411,1223,Research and development managers,1.0,0.647411
11-9051,Food Service Managers,0.0614931,1412,Restaurant managers,1.0,0.0614931
11-9061,Funeral Service Managers,0.336732,1219,Business services and administration managers not elsewhere classified,1.0,0.336732
11-9071,Gaming Managers,0.7192592,1431,"Sports, recreation and cultural centre managers",1.0,0.7192592
11-9081,Lodging Managers,0.4639851,1411,Hotel managers,1.0,0.4639851
11-9111,Medical and Health Services Managers,1.314992,1342,Health services managers,2.0,0.657496
11-9111,Medical and Health Services Managers,1.314992,1343,Aged care services managers,2.0,0.657496
11-9121,Natural Sciences Managers,1.241343,1223,Research and development managers,1.0,1.241343
11-9131,Postmasters and Mail Superintendents,0.8657041,1219,Business services and administration managers not elsewhere classified,1.0,0.8657041
11-9141,"Property, Real Estate, and Community Association Managers",1.214595,3334,Real estate agents and property managers,1.0,1.214595
11-9151,Social and Community Service Managers,1.225244,1344,Social welfare managers,1.0,1.225244
11-9161,Emergency Management Directors,0.901037,1112,Senior government officials,1.0,0.901037
11-9199,"Managers, All Other",0.9099647,1114,Senior officials of special-interest organizations,7.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1213,Policy and planning managers,7.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1219,Business services and administration managers not elsewhere classified,7.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1322,Mining managers,7.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1349,Professional services managers not elsewhere classified,7.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1431,"Sports, recreation and cultural centre managers",7.0,0.12999495714285714
11-9199,"Managers, All Other",0.9099647,1439,Services managers not elsewhere classified,7.0,0.12999495714285714
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.247628,3339,Business services agents not elsewhere classified,1.0,1.247628
13-1021,"Buyers and Purchasing Agents, Farm Products",0.736816,3323,Buyers,1.0,0.736816
13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.7911764,3323,Buyers,1.0,0.7911764
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.495701,3323,Buyers,1.0,1.495701
13-1031,"Claims Adjusters, Examiners, and Investigators",1.106198,3315,Valuers and loss assessors,1.0,1.106198
13-1032,"Insurance Appraisers, Auto Damage",0.5820833,3315,Valuers and loss assessors,1.0,0.5820833
13-1041,Compliance Officers,0.5718207,3351,Customs and border inspectors,3.0,0.1906069
13-1041,Compliance Officers,0.5718207,3353,Government social benefits officials,3.0,0.1906069
13-1041,Compliance Officers,0.5718207,3354,Government licensing officials,3.0,0.1906069
13-1051,Cost Estimators,1.13408,3339,Business services agents not elsewhere classified,1.0,1.13408
13-1071,Human Resources Specialists,1.557472,2423,Personnel and careers professionals,2.0,0.778736
13-1071,Human Resources Specialists,1.557472,3333,Employment agents and contractors,2.0,0.778736
13-1074,Farm Labor Contractors,-0.4044011,3333,Employment agents and contractors,1.0,-0.4044011
13-1075,Labor Relations Specialists,1.431411,2423,Personnel and careers professionals,1.0,1.431411
13-1081,Logisticians,1.081353,2421,Management and organization analysts,1.0,1.081353
13-1111,Management Analysts,1.547557,2421,Management and organization analysts,1.0,1.547557
13-1121,"Meeting, Convention, and Event Planners",0.5130678,3332,Conference and event planners,1.0,0.5130678
13-1131,Fundraisers,1.404691,4214,Debt-collectors and related workers,1.0,1.404691
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.361838,2423,Personnel and careers professionals,1.0,1.361838
13-1151,Training and Development Specialists,1.322911,2356,Information technology trainers,2.0,0.6614555
13-1151,Training and Development Specialists,1.322911,2424,Training and staff development professionals,2.0,0.6614555
13-1161,Market Research Analysts and Marketing Specialists,1.356259,2431,Advertising and marketing professionals,1.0,1.356259
13-1199,"Business Operations Specialists, All Other",0.92503,2422,Policy administration professionals,2.0,0.462515
13-1199,"Business Operations Specialists, All Other",0.92503,3339,Business services agents not elsewhere classified,2.0,0.462515
13-2011,Accountants and Auditors,1.214001,2411,Accountants,1.0,1.214001
13-2021,Appraisers and Assessors of Real Estate,0.6279358,3315,Valuers and loss assessors,1.0,0.6279358
13-2031,Budget Analysts,1.299968,2411,Accountants,1.0,1.299968
13-2041,Credit Analysts,1.092495,2413,Financial analysts,1.0,1.092495
13-2051,Financial Analysts,1.272825,2412,Financial and investment advisers,2.0,0.6364125
13-2051,Financial Analysts,1.272825,2413,Financial analysts,2.0,0.6364125
13-2052,Personal Financial Advisors,1.395742,2412,Financial and investment advisers,1.0,1.395742
13-2053,Insurance Underwriters,1.261974,3321,Insurance representatives,1.0,1.261974
13-2061,Financial Examiners,1.357634,2413,Financial analysts,1.0,1.357634
13-2071,Credit Counselors,1.355321,3312,Credit and loans officers,1.0,1.355321
13-2072,Loan Officers,1.477458,3312,Credit and loans officers,1.0,1.477458
13-2081,"Tax Examiners and Collectors, and Revenue Agents",1.253237,3352,Government tax and excise officials,1.0,1.253237
13-2082,Tax Preparers,1.143748,2411,Accountants,1.0,1.143748
13-2099,"Financial Specialists, All Other",1.252594,3339,Business services agents not elsewhere classified,1.0,1.252594
15-1111,Computer and Information Research Scientists,0.968235,2511,Systems analysts,1.0,0.968235
15-1121,Computer Systems Analysts,1.045816,2511,Systems analysts,1.0,1.045816
15-1122,Information Security Analysts,1.044709,2529,Database and network professionals not elsewhere classified,1.0,1.044709
15-1131,Computer Programmers,1.024722,2514,Applications programmers,1.0,1.024722
15-1132,"Software Developers, Applications",0.8815646,2512,Software developers,1.0,0.8815646
15-1133,"Software Developers, Systems Software",1.165808,2512,Software developers,1.0,1.165808
15-1134,Web Developers,0.7887872,2513,Web and multimedia developers,2.0,0.3943936
15-1134,Web Developers,0.7887872,3514,Web technicians,2.0,0.3943936
15-1141,Database Administrators,0.9959827,2521,Database designers and administrators,1.0,0.9959827
15-1142,Network and Computer Systems Administrators,0.4749538,2522,Systems administrators,2.0,0.2374769
15-1142,Network and Computer Systems Administrators,0.4749538,3514,Web technicians,2.0,0.2374769
15-1143,Computer Network Architects,0.4954185,2523,Computer network professionals,1.0,0.4954185
15-1151,Computer User Support Specialists,0.3261741,3512,Information and communications technology user support technicians,1.0,0.3261741
15-1152,Computer Network Support Specialists,0.6566319,3513,Computer network and systems technicians,1.0,0.6566319
15-1199,"Computer Occupations, All Other",1.043586,2519,Software and applications developers and analysts not elsewhere classified,2.0,0.521793
15-1199,"Computer Occupations, All Other",1.043586,2529,Database and network professionals not elsewhere classified,2.0,0.521793
15-2011,Actuaries,1.199589,2120,"Mathematicians, actuaries and statisticians",1.0,1.199589
15-2021,Mathematicians,1.166233,2120,"Mathematicians, actuaries and statisticians",1.0,1.166233
15-2031,Operations Research Analysts,1.233633,2120,"Mathematicians, actuaries and statisticians",1.0,1.233633
15-2041,Statisticians,1.243257,2120,"Mathematicians, actuaries and statisticians",1.0,1.243257
15-2091,Mathematical Technicians,0.438215,3314,"Statistical, mathematical and related associate professionals",1.0,0.438215
17-1011,"Architects, Except Landscape and Naval",0.6103589,2161,Building architects,1.0,0.6103589
17-1012,Landscape Architects,0.8363757,2162,Landscape architects,1.0,0.8363757
17-1021,Cartographers and Photogrammetrists,0.4723189,2165,Cartographers and surveyors,1.0,0.4723189
17-1022,Surveyors,-0.121288,2165,Cartographers and surveyors,1.0,-0.121288
17-2011,Aerospace Engineers,1.11685,2144,Mechanical engineers,1.0,1.11685
17-2021,Agricultural Engineers,0.6895172,2144,Mechanical engineers,1.0,0.6895172
17-2031,Biomedical Engineers,0.7338057,2149,Engineering professionals not elsewhere classified,1.0,0.7338057
17-2041,Chemical Engineers,0.9060193,2145,Chemical engineers,1.0,0.9060193
17-2051,Civil Engineers,0.9267973,2142,Civil engineers,1.0,0.9267973
17-2061,Computer Hardware Engineers,0.9768626,2152,Electronics engineers,1.0,0.9768626
17-2071,Electrical Engineers,0.901124,2151,Electrical engineers,1.0,0.901124
17-2072,"Electronics Engineers, Except Computer",0.4569179,2153,Telecommunications engineers,2.0,0.22845895
17-2072,"Electronics Engineers, Except Computer",0.4569179,2152,Electronics engineers,2.0,0.22845895
17-2081,Environmental Engineers,1.043951,2143,Environmental engineers,1.0,1.043951
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.7644105,2149,Engineering professionals not elsewhere classified,1.0,0.7644105
17-2112,Industrial Engineers,0.9050576,2141,Industrial and production engineers,1.0,0.9050576
17-2121,Marine Engineers and Naval Architects,0.3434475,2144,Mechanical engineers,1.0,0.3434475
17-2131,Materials Engineers,0.7804771,2146,"Mining engineers, metallurgists and related professionals",2.0,0.39023855
17-2131,Materials Engineers,0.7804771,2149,Engineering professionals not elsewhere classified,2.0,0.39023855
17-2141,Mechanical Engineers,0.6780269,2144,Mechanical engineers,1.0,0.6780269
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",1.031417,2146,"Mining engineers, metallurgists and related professionals",1.0,1.031417
