isco_code,anzsco_code,anzsco_title
0110,111212,Defence Force Senior Officer
0110,139111,Commissioned Defence Force Officer
0210,139211,Senior Non-commissioned Defence Force Member
0310,441111,Defence Force Member - Other Ranks
1111,111311,Local Government Legislator
1111,111312,Member of Parliament
1111,111399,Legislators nec
1112,111111,Chief Executive or Managing Director
1112,111211,Corporate General Manager
1112,139999,Specialist Managers nec
1113,xxxxxx,No Correspondence
1114,111111,Chief Executive or Managing Director
1114,111211,Corporate General Manager
1120,111111,Chief Executive or Managing Director
1120,111211,Corporate General Manager
1211,132111,Corporate Services Manager
1211,132211,Finance Manager
1211,221211,Company Secretary
1211,221212,Corporate Treasurer
1212,132311,Human Resource Manager
1213,132411,Policy and Planning Manager
1213,139916,Quality Assurance Manager
1213,139917,Regulatory Affairs Manager
1219,132111,Corporate Services Manager
1219,149212,Customer Service Manager
1219,149913,Facilities Manager
1221,131112,Sales and Marketing Manager
1222,131113,Advertising Manager
1222,131114,Public Relations Manager
1223,132511,Research and Development Manager
1311,121311,Apiarist
1311,121312,Beef Cattle Farmer
1311,121313,Dairy Cattle Farmer
1311,121314,Deer Farmer
1311,121315,Goat Farmer
1311,121316,Horse Breeder
1311,121318,Pig Farmer
1311,121321,Poultry Farmer
1311,121322,Sheep Farmer
1311,121323,Mixed Cattle and Sheep Farmer
1311,121399,Livestock Farmers nec
1311,121511,Cotton Grower
1311,121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower"
1311,121513,Sugar Cane Grower
1311,121599,Broadacre Crop Growers nec
1311,121611,Flower Grower
1311,121612,Fruit Grower
1311,121613,Nut Grower
1311,121616,Vegetable Grower (Aus) / Market Gardener (NZ)
1311,121699,Horticultural Crop Growers nec
1311,121711,Broadacre Crop and Livestock Farmer
1311,121799,Mixed Production Farmers nec
1311,133511,Production Manager (Forestry)
1312,121111,Aquaculture Farmer
1321,133411,Manufacturer
1321,133512,Production Manager (Manufacturing)
1321,139999,Specialist Managers nec
1322,133513,Production Manager (Mining)
1323,133111,Construction Project Manager
1323,133112,Project Builder
1324,133311,Importer or Exporter
1324,133611,Supply and Distribution Manager
1324,133612,Procurement Manager
1324,149411,Fleet Manager
1324,149412,Railway Station Manager
1324,149413,Transport Company Manager
1330,135111,Chief Information Officer
1330,135112,ICT Project Manager
1330,135199,ICT Managers nec
1341,134111,Child Care Centre Manager
1342,134211,Medical Administrator / Medical Superintendent
1342,134212,Nursing Clinical Director
1342,134213,Primary Health Organisation Manager
1342,134299,Health and Welfare Services Managers nec
1342,512211,Health Practice Manager
1343,134299,Health and Welfare Services Managers nec
1343,141912,Retirement Village Manager
1344,134214,Welfare Centre Manager
1344,134299,Health and Welfare Services Managers nec
