,coef,std_err,p_value,ci_low,ci_high
2001,0.56233,0.040707,0.0,0.482545,0.642115
2002,0.59045,0.041306,0.0,0.509492,0.671409
2003,0.610247,0.04298,0.0,0.526008,0.694487
2004,0.489014,0.042346,0.0,0.406019,0.57201
2005,0.561735,0.042468,0.0,0.478499,0.64497
2006,0.561788,0.042854,0.0,0.477795,0.645781
2007,0.513571,0.041968,0.0,0.431316,0.595827
2008,0.547278,0.042416,0.0,0.464144,0.630412
2009,0.574924,0.041309,0.0,0.49396,0.655889
2010,0.548007,0.04029,0.0,0.46904,0.626974
2011,0.565576,0.035648,0.0,0.495707,0.635445
2012,0.602857,0.037537,0.0,0.529287,0.676427
2013,0.653285,0.038003,0.0,0.5788,0.72777
2014,0.603236,0.037075,0.0,0.53057,0.675902
2015,0.654883,0.037547,0.0,0.581292,0.728473
2016,0.669174,0.036614,0.0,0.597412,0.740935
2017,0.655621,0.036169,0.0,0.58473,0.726512
2018,0.686163,0.036273,0.0,0.61507,0.757256
2019,0.601854,0.036047,0.0,0.531203,0.672505
2020,0.58501,0.035439,0.0,0.515551,0.65447
2021,0.606975,0.035352,0.0,0.537687,0.676263
2022,0.629204,0.035987,0.0,0.558671,0.699736
2023,0.717057,0.037642,0.0,0.64328,0.790835
2024,0.772036,0.036131,0.0,0.701221,0.842851
