model,term,coef,se,pvalue
baseline_all,high_ai_exposure,-0.03628085165529693,0.007695959310621506,2.4257549598925062e-06
baseline_all,post_2021,-0.04209970262240684,0.004903711731523355,9.062118227154412e-18
baseline_all,high_ai_x_post2021,0.01621638147623548,0.00817264170320492,0.04723046972252731
baseline_all,occ_changed_anzsco2_1y,0.01372116322455273,0.0063832944123696014,0.03159141349044317
baseline_all,high_ai_x_post2021_x_mobility,0.011493175417452518,0.008395252317091454,0.17099648256452837
movers_only,high_ai_exposure,-0.024821558118791987,0.019766398146643632,0.2092083927718894
movers_only,post_2021,-0.03689637164722244,0.013480117957430917,0.006198427582430518
movers_only,high_ai_x_post2021,0.013671518824879507,0.021252674803247266,0.520039434407758
stayers_only,high_ai_exposure,-0.03765122983519728,0.008284498337376222,5.499242521588421e-06
stayers_only,post_2021,-0.04399108713158206,0.005250483617809416,5.361427700585441e-17
stayers_only,high_ai_x_post2021,0.019697287019824955,0.008671648011840007,0.023119247412971635
